Distribuidora;Conjunto;Municipio;Estado;MUNICÍPIO_R;Endereco;LAT_SUB;LONG_SUB
ENEL CE;MARANGUAPE;MARANGUAPE;CE;MARANGUAPE;ENEL CE SUBESTACAO MARANGUAPE;-3,8916302;-38,6835033
EPB;BAYEUX;BAYEUX;PB;BAYEUX;EPB SUBESTACAO BAYEUX;-7,1243913;-34,9222381
CELPE;CRUZ DE REBOUCAS;ABREU E LIMA;PE;ABREU E LIMA;CELPE SUBESTACAO CRUZ DE REBOUCAS;-7,8929483;-34,9039603
CELPE;PARATIBE I;ABREU E LIMA;PE;ABREU E LIMA;CELPE SUBESTACAO PARATIBE I;-7,9257693;-34,9005813
CELPE;PARATIBE II;ABREU E LIMA;PE;ABREU E LIMA;CELPE SUBESTACAO PARATIBE II;-7,9257693;-34,9005813
EQUATORIAL PA;ABAETETUBA I;ABAETETUBA;PA;ABAETETUBA;EQUATORIAL PA SUBESTACAO ABAETETUBA I;-1,727025;-48,8757221
EQUATORIAL PA;ABAETETUBA II;ABAETETUBA;PA;ABAETETUBA;EQUATORIAL PA SUBESTACAO ABAETETUBA II;-1,727025;-48,8757221
COELBA;BARRO VERMELHO;SANTO ANTONIO DE JESUS;BA;SANTO ANTONIO DE JESUS;COELBA SUBESTACAO BARRO VERMELHO;-12,983637;-39,305103
COELBA;SANTO ANTONIO DE JESUS;SANTO ANTONIO DE JESUS;BA;SANTO ANTONIO DE JESUS;COELBA SUBESTACAO SANTO ANTONIO DE JESUS;-12,9679451;-39,2525711
CELG-D;JATAI S1;JATAI;GO;JATAI;CELG-D SUBESTACAO JATAI S1;-17,8759055;-51,7118888
CELG-D;JATAI S2;JATAI;GO;JATAI;CELG-D SUBESTACAO JATAI S2;-17,8453779;-51,7297351
CELG-D;JATAI S3;JATAI;GO;JATAI;CELG-D SUBESTACAO JATAI S3;-17,8453779;-51,7297351
ELEKTRO;VOTUPORANGA;VOTUPORANGA;SP;VOTUPORANGA;ELEKTRO SUBESTACAO VOTUPORANGA;-20,4062633;-49,9653167
COPEL-DIS;MOURAO-I;CAMPO MOURAO;PR;CAMPO MOURAO;COPEL-DIS SUBESTACAO MOURAO-I;-24,0506329;-52,3864979
COPEL-DIS;SANTOS DUMONT;CAMPO MOURAO;PR;CAMPO MOURAO;COPEL-DIS SUBESTACAO SANTOS DUMONT;-24,0506329;-52,3864979
CERON;ARIQUEMES;ARIQUEMES;RO;ARIQUEMES;CERON SUBESTACAO ARIQUEMES;-9,9277212;-63,0110875
CEMIG-D;MORRO DO CHAPEU;NOVA LIMA;MG;NOVA LIMA;CEMIG-D SUBESTACAO MORRO DO CHAPEU;-20,09821;-43,9510593
CEMIG-D;NOVA LIMA 1;NOVA LIMA;MG;NOVA LIMA;CEMIG-D SUBESTACAO NOVA LIMA 1;-19,9870821;-43,8718353
CEMIG-D;NOVA LIMA 7;NOVA LIMA;MG;NOVA LIMA;CEMIG-D SUBESTACAO NOVA LIMA 7;-19,9844217;-43,9452781
CERON;VILHENA;VILHENA;RO;VILHENA;CERON SUBESTACAO VILHENA;-12,759465;-60,1376448
CEMIG-D;TIMOTEO;TIMOTEO;MG;TIMOTEO;CEMIG-D SUBESTACAO TIMOTEO;-19,5274088;-42,6433919
COPEL-DIS;FAZENDA RIO GRANDE;FAZENDA RIO GRANDE;PR;FAZENDA RIO GRANDE;COPEL-DIS SUBESTACAO FAZENDA RIO GRANDE;-25,6466457;-49,3161896
COPEL-DIS;FAZENDA IGUACU;FAZENDA RIO GRANDE;PR;FAZENDA RIO GRANDE;COPEL-DIS SUBESTACAO FAZENDA IGUACU;-25,6466457;-49,3161896
EMT;TANGARA DA SERRA;TANGARA DA SERRA;MT;TANGARA DA SERRA;EMT SUBESTACAO TANGARA DA SERRA;-14,6303163;-57,5000695
CEMIG-D;ITAJUBA 1;ITAJUBA;MG;ITAJUBA;CEMIG-D SUBESTACAO ITAJUBA 1;-22,4243517;-45,4564209
CEMIG-D;NOVA SERRANA 1;NOVA SERRANA;MG;NOVA SERRANA;CEMIG-D SUBESTACAO NOVA SERRANA 1;-19,874018;-44,9891173
CEMIG-D;PARA DE MINAS 1;PARA DE MINAS;MG;PARA DE MINAS;CEMIG-D SUBESTACAO PARA DE MINAS 1;-19,8755292;-44,5981914
CEMIG-D;PARA DE MINAS 2;PARA DE MINAS;MG;PARA DE MINAS;CEMIG-D SUBESTACAO PARA DE MINAS 2;-19,8755292;-44,5981914
ELEKTRO;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;SP;SAO JOAO DA BOA VISTA;ELEKTRO SUBESTACAO SAO JOAO DA BOA VISTA;-21,9762916;-46,8102607
